4.03,5.10,3.80,5.14,0.00,1.60,2.97,0.40,8.71,3.04,5.99,1.88,4.74,11.53,33.18,9.44,22.74,20.51,10.72,2.73,6.07,6.61,5.49,
3.05,8.38,2.56,3.40,0.00,0.10,3.28,2.40,8.09,9.17,4.52,1.33,3.62,14.76,50.04,1.24,4.95,32.23,16.42,6.25,6.02,3.86,3.19,
3.70,6.46,5.55,1.49,0.00,1.04,4.15,3.00,10.69,5.92,3.46,2.85,25.70,9.90,24.81,2.10,37.05,6.09,37.32,6.26,7.93,8.81,5.91,
2.55,7.80,2.40,1.74,0.00,1.23,1.62,0.56,7.45,5.70,6.85,3.41,7.46,14.12,31.28,0.00,29.71,15.57,9.67,4.01,4.65,3.74,3.87,
5.75,5.38,4.31,2.94,0.00,1.96,3.93,1.31,2.67,2.73,9.29,2.28,23.46,8.82,53.21,0.00,13.77,31.76,18.54,4.97,5.50,6.04,4.25,
4.54,5.58,1.41,1.69,0.00,4.04,3.15,0.27,9.71,7.44,4.57,2.49,4.51,7.27,14.42,1.31,17.47,6.27,28.15,13.39,6.45,4.26,5.25,
3.67,12.16,1.95,3.10,0.00,2.33,3.76,0.00,5.23,7.37,3.29,0.90,12.69,10.99,25.18,0.95,26.14,6.98,30.20,3.87,6.89,8.01,4.32,
2.26,4.86,3.13,2.67,0.00,1.02,1.58,0.00,3.53,5.76,1.19,1.47,14.11,10.91,27.58,0.00,20.88,7.54,32.07,8.92,4.79,5.16,5.56,
4.47,4.50,3.00,6.69,0.00,2.63,3.32,0.95,6.14,14.68,1.48,0.56,17.46,11.97,43.70,1.86,42.96,12.20,7.64,3.68,7.29,3.37,4.79,
2.63,9.14,6.10,0.80,0.00,1.02,1.99,0.00,5.29,5.48,5.13,2.18,8.55,19.64,8.31,0.15,19.64,37.52,19.56,4.61,4.93,6.73,2.99,
4.19,6.08,2.04,0.34,0.00,4.45,1.72,1.46,8.85,10.12,8.44,1.57,14.26,7.37,18.97,9.07,22.09,9.67,31.36,9.90,6.73,3.92,4.97,
5.64,8.60,4.57,5.90,0.00,3.33,1.74,1.46,4.85,28.49,2.65,1.64,21.17,13.93,31.71,1.31,37.73,18.08,6.93,6.44,3.65,6.20,7.83,
9.15,3.97,7.84,0.95,0.00,2.35,1.47,0.15,10.36,32.40,5.32,0.84,4.34,8.66,33.81,2.44,32.96,12.75,3.48,2.67,7.95,7.78,3.76,
6.73,5.58,2.65,5.05,0.00,3.17,2.58,0.00,8.82,8.11,7.98,0.92,22.63,8.96,34.77,9.77,26.15,23.52,13.10,4.78,4.92,4.45,5.07,
6.07,6.18,6.04,2.28,0.00,2.76,1.89,5.65,6.15,8.78,10.34,1.49,11.26,10.77,17.96,5.68,21.24,5.42,33.09,8.62,11.01,6.23,3.75,
4.45,6.14,2.10,3.33,0.00,2.73,3.76,1.71,8.54,11.34,5.32,0.95,14.14,8.20,56.58,2.48,11.16,17.04,10.02,4.27,5.66,9.60,4.45,
4.54,7.19,2.87,4.81,0.00,1.15,2.69,1.43,13.00,12.82,11.11,3.23,4.44,13.23,27.65,0.00,40.67,14.99,13.95,3.28,3.63,5.94,5.82,
5.73,9.08,1.76,2.18,0.00,3.05,4.69,2.53,6.17,4.77,5.66,3.17,11.93,8.41,41.40,0.22,26.66,11.82,5.67,5.42,4.23,9.52,5.58,
3.48,7.18,1.66,7.59,0.00,2.91,2.43,3.19,7.85,12.06,8.70,1.11,22.48,11.66,16.88,0.41,36.36,8.25,4.44,5.14,9.08,8.13,4.46,
3.71,7.75,2.59,1.67,0.00,2.68,2.91,1.33,14.08,18.61,11.00,2.73,25.65,17.53,34.45,3.69,18.70,14.75,27.66,11.63,13.00,4.65,5.58,
1.79,6.69,4.26,2.45,0.00,0.84,3.71,0.00,2.98,10.32,6.63,2.61,8.22,9.34,8.67,0.00,15.81,37.82,14.24,1.65,5.36,5.87,3.67,
3.10,4.15,3.08,1.50,0.00,1.41,2.56,3.76,5.60,12.66,2.29,0.69,19.68,14.17,19.22,0.89,19.90,12.69,23.28,3.75,8.90,5.96,2.88,
4.97,6.66,2.47,6.61,0.00,0.89,3.26,1.11,6.41,18.74,5.56,2.60,10.24,5.39,30.70,0.00,10.88,35.30,29.21,12.75,8.32,7.09,4.66,
6.09,2.84,2.76,2.38,0.00,0.49,2.66,0.74,9.64,15.35,6.22,1.66,24.62,14.18,28.03,1.74,29.65,11.04,8.03,7.03,5.54,3.81,4.30,
3.28,7.95,2.78,0.60,0.00,2.26,4.18,0.79,8.84,14.50,7.96,0.98,14.33,16.91,43.10,9.91,27.14,9.47,15.81,10.65,9.63,7.32,5.02,
1.97,4.19,2.82,2.42,0.00,2.69,4.41,0.58,6.65,12.68,6.67,3.16,8.50,12.89,21.48,0.24,16.13,7.67,14.64,5.09,3.81,8.52,3.68,
