5.30,10.66,11.78,16.55,11.45,20.12,28.65,17.45,20.19,24.33,0.00,3.41,
21.41,10.81,15.71,19.13,27.70,22.53,16.53,19.78,19.54,16.30,8.65,31.82,
10.85,12.18,23.00,19.20,14.48,19.71,23.38,16.39,27.31,15.08,0.00,7.59,
17.64,10.62,0.00,18.64,12.10,17.25,18.18,17.56,23.63,28.15,27.73,18.08,
22.69,10.97,21.53,18.42,25.32,17.90,32.99,17.58,26.33,21.79,26.17,27.11,
31.02,12.61,6.07,18.89,11.30,18.96,31.23,22.07,25.80,27.24,0.00,0.00,
22.96,13.32,36.65,21.44,20.87,24.11,14.43,20.02,19.79,17.72,37.31,5.67,
12.94,17.74,12.27,17.25,17.09,17.74,21.69,18.69,21.43,32.96,19.51,21.98,
13.56,14.22,9.41,20.07,21.17,29.37,27.99,25.32,25.14,22.63,39.89,15.17,
10.06,11.68,1.94,17.48,24.72,28.87,31.77,20.54,16.85,8.07,12.73,20.84,
19.99,7.97,0.00,16.22,27.90,23.64,16.94,21.35,38.77,23.49,60.49,30.67,
7.98,12.38,17.98,20.33,16.83,20.00,29.49,17.93,32.79,16.44,0.00,19.10,
9.50,11.39,11.20,19.07,33.16,14.19,20.94,20.71,24.44,10.20,6.67,9.28,
30.46,16.23,0.38,19.18,25.08,26.20,31.90,18.12,31.08,28.13,51.72,39.13,
31.52,9.15,7.21,16.94,16.51,21.32,36.85,20.19,12.86,22.45,17.25,15.91,
9.12,9.83,12.66,19.25,20.74,21.48,20.06,20.24,31.01,25.29,0.00,40.53,
14.26,9.47,0.00,17.95,25.05,19.80,24.92,21.86,10.68,16.45,32.51,1.05,
11.39,12.39,0.00,18.33,19.37,13.21,14.83,17.16,20.96,22.86,14.00,43.44,
4.40,13.16,13.10,19.96,18.90,23.59,35.07,16.76,19.66,13.13,0.44,18.08,
24.93,10.42,0.30,18.69,21.59,23.44,26.28,17.99,20.72,21.06,23.41,20.63,
10.48,13.84,3.76,18.92,19.07,18.76,27.26,15.19,21.03,4.96,3.94,0.16,
1.51,9.90,7.84,16.92,20.55,18.56,23.09,15.52,11.78,29.77,35.42,17.57,
15.20,9.49,15.02,21.12,23.77,20.44,25.74,21.06,6.26,12.41,2.98,25.76,
10.52,12.07,13.88,19.70,16.04,23.00,29.72,20.37,11.02,39.43,2.88,3.08,
11.15,11.29,14.71,17.86,23.89,19.53,32.84,14.09,22.83,12.42,19.95,30.44,
10.30,12.17,2.68,18.10,14.27,16.71,20.37,18.01,10.44,12.99,0.00,43.92,
19.22,12.01,0.00,18.82,24.48,21.68,30.90,18.62,16.38,32.94,0.00,24.48,
0.85,14.94,5.09,18.91,24.93,21.13,15.83,15.30,21.69,13.38,26.89,9.94,
29.14,12.40,0.47,22.05,32.24,18.95,23.15,21.38,16.73,27.11,34.44,19.82,
17.52,11.12,14.54,18.11,18.31,26.85,12.00,17.56,19.44,18.28,0.00,0.00,
10.10,17.45,17.35,17.30,14.58,17.78,26.37,16.07,32.27,5.68,33.54,44.48,
4.77,13.98,16.99,19.55,21.03,16.63,15.19,19.05,27.83,24.08,15.91,4.08,
2.35,10.39,0.00,18.75,31.06,20.47,19.14,16.27,28.22,28.77,51.41,18.86,
12.01,9.62,10.14,18.01,35.95,14.79,20.85,18.57,23.95,23.59,8.11,0.00,
15.91,9.11,5.40,16.03,19.65,24.12,19.77,17.82,14.23,22.59,0.00,13.92,
